file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.65E-05,2.96E-05,0.421915026,0.000281473,,,,,,,,,,,,,,,
DTLZ2,2,CD,9.20E-06,2.87E-05,0.422132511,0.000154516,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.30E-05,3.19E-05,0.42201419,0.000206049,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.51E-05,2.84E-05,0.422038061,0.000213665,,,,,,,,,,,,,,,
DTLZ2,2,CD,6.14E-06,3.10E-05,0.422192258,7.97E-05,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.50E-05,2.78E-05,0.422073877,0.000236713,,,,,,,,,,,,,,,
DTLZ2,2,CD,5.89E-06,3.09E-05,0.422221499,7.47E-05,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.86E-05,2.77E-05,0.421859886,0.000316144,,,,,,,,,,,,,,,
DTLZ2,2,CD,2.89E-05,3.12E-05,0.421594117,0.00060766,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.47E-05,3.32E-05,0.421809905,0.000312238,,,,,,,,,,,,,,,
DTLZ2,2,CD,8.39E-06,2.97E-05,0.422050994,0.000120675,,,,,,,,,,,,,,,
DTLZ2,2,CD,6.01E-06,2.90E-05,0.422176323,7.20E-05,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.01E-05,2.87E-05,0.422093045,0.000123614,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.00E-05,2.84E-05,0.422053453,0.000133175,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.50E-05,2.91E-05,0.42193976,0.000235957,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.15E-05,2.84E-05,0.422137259,0.000159104,,,,,,,,,,,,,,,
DTLZ2,2,CD,7.61E-05,3.26E-05,0.420513726,0.001882986,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.33E-05,3.21E-05,0.421795066,0.000275579,,,,,,,,,,,,,,,
DTLZ2,2,CD,1.73E-05,3.05E-05,0.421869468,0.000351049,,,,,,,,,,,,,,,
DTLZ2,2,CD,5.58E-06,2.74E-05,0.422247151,4.91E-05,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000630209,0.000312308,0.387944015,0.048325731,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000556463,0.000217417,0.394080375,0.053015723,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.002872901,0.000512952,0.35493263,0.110047735,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.00067077,0.000227627,0.393887291,0.05491278,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.001156514,0.000319001,0.390346776,0.044780417,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000938642,0.000350879,0.383095721,0.072872502,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.00121948,0.000432856,0.345456093,0.14510723,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000267573,0.000149547,0.410874164,0.023278659,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.001162956,0.000291668,0.390921148,0.04539827,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000289711,0.000131601,0.412810685,0.010114203,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000602422,0.000200253,0.401519079,0.017365782,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000229613,8.44E-05,0.415552178,0.000755073,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000743465,0.000233349,0.397724209,0.049802112,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000649632,0.000219423,0.402125308,0.014257187,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000603962,0.000153148,0.399487817,0.05585771,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000712365,0.000257159,0.38763277,0.075747928,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000482206,0.00020849,0.400130054,0.041803705,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000325036,0.000229712,0.408773525,0.010795427,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000208732,7.70E-05,0.415937624,0.004690787,,,,,,,,,,,,,,,
DTLZ2,2,PSA,0.000555747,0.000246093,0.389515629,0.061838617,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000831953,0.000888037,0.710420169,0.003940907,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.002259026,0.000613699,0.692429153,0.007672404,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001645095,0.000599405,0.703544333,0.009248228,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000765727,0.000531037,0.722316227,0.0022942,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000794893,0.000565215,0.728607326,0.003953855,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000861217,0.000648456,0.715819726,0.005031047,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001489776,0.00054767,0.709847392,0.004661932,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000832458,0.000632889,0.718701944,0.004174556,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.003002652,0.000721207,0.663893636,0.015089163,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.00057516,0.000466102,0.746882096,0.002816051,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001851249,0.000573746,0.705936056,0.007323311,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000910193,0.000529955,0.731161341,0.003646262,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001735099,0.000621254,0.690701639,0.008087697,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001476452,0.000598693,0.705570233,0.00664634,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001508307,0.000628407,0.70076066,0.006858751,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001111542,0.000678801,0.714971537,0.004971158,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001594708,0.000625539,0.699270968,0.006730751,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.001315693,0.000584339,0.717562771,0.005023752,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.000831107,0.000548796,0.740211021,0.00471401,,,,,,,,,,,,,,,
DTLZ2,3,CD,0.002010378,0.000656509,0.681474947,0.007981293,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.008288954,0.001044562,0.60355583,0.028645524,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.006809126,0.000995462,0.617102667,0.026557536,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.008309785,0.00103667,0.593467143,0.026141135,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.013662945,0.001117926,0.584902982,0.041582742,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.016157445,0.001605647,0.461543367,0.051165205,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.020621343,0.001516865,0.487973798,0.044387791,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.010184435,0.001110946,0.570705989,0.03234768,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.012191326,0.001360943,0.533988557,0.043619502,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.007080499,0.001043857,0.598926429,0.02361789,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.012784855,0.001151798,0.570970594,0.03922671,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.008827826,0.001080873,0.581640418,0.032146587,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.013164438,0.001190678,0.566841318,0.029254949,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.023556498,0.001769866,0.41780222,0.052616258,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.007280466,0.001003841,0.60951086,0.025918711,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.012441142,0.001269224,0.557419298,0.04093527,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.011390957,0.001274547,0.534134931,0.042134346,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.012335825,0.001467122,0.512393057,0.04592475,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.010413735,0.001087757,0.585388415,0.041703386,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.017951463,0.001559347,0.478243639,0.055685804,,,,,,,,,,,,,,,
DTLZ2,3,PSA,0.009072074,0.000903962,0.64536451,0.023501966,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.034024507,0.003277743,0.351976171,0.029137484,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.032742676,0.003270725,0.338803723,0.035072526,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.032066537,0.003092602,0.41452474,0.036456605,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036453951,0.003004769,0.430514269,0.028113022,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.033605527,0.0033693,0.334124775,0.03072583,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.035347064,0.003149112,0.38925511,0.030029857,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.032887629,0.00315075,0.379860487,0.032002484,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.037692049,0.00329198,0.294913391,0.034936888,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.037357004,0.003661258,0.299503852,0.040683908,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036285229,0.003240847,0.329511357,0.028685607,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.038807019,0.003333409,0.321787737,0.039981235,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.035837349,0.003320012,0.314613919,0.030251479,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.037066888,0.003381503,0.292232068,0.036087295,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.038304701,0.003521942,0.293131775,0.046935771,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036362816,0.0034292,0.340834011,0.033398058,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036741734,0.00321222,0.358753447,0.033183078,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036125291,0.003392107,0.325609786,0.028494735,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036118459,0.003603732,0.299807224,0.037283392,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.036228626,0.003428571,0.335717584,0.035126533,,,,,,,,,,,,,,,
DTLZ2,4,CD,0.039957581,0.003551074,0.264572596,0.036032448,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.029326364,0.002065227,0.634375322,0.021782302,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.03720651,0.002092003,0.620828984,0.029354329,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.026540959,0.001813997,0.688665298,0.024148635,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.031759993,0.002030326,0.65315295,0.025415171,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.025496023,0.001764741,0.692328585,0.020093973,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.029423892,0.001936209,0.641583497,0.021050211,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.027156804,0.0021901,0.620376056,0.024919053,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.029824636,0.00181437,0.680558305,0.021764067,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.030317285,0.002137308,0.6595396,0.024159856,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.027772441,0.002529188,0.562176486,0.032255055,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.028016936,0.001919702,0.692891617,0.022081198,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.039761886,0.002175792,0.616010417,0.030405546,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.03408212,0.00206439,0.632945,0.026851047,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.029404196,0.002038753,0.647134305,0.025346839,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.030132085,0.001970288,0.629091938,0.02948017,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.033233461,0.00205025,0.643442746,0.022466971,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.032910689,0.001991232,0.64094149,0.02378114,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.027360367,0.001923578,0.679404172,0.0264237,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.045533011,0.002054406,0.643840391,0.016191934,,,,,,,,,,,,,,,
DTLZ2,4,PSA,0.030702075,0.002241647,0.609597166,0.028885556,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.05599538,0.004894741,0.141333561,0.036839228,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.063520112,0.005723387,0.121626449,0.040697347,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.056020517,0.005280739,0.152833277,0.034528771,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.056595132,0.004988499,0.156517944,0.034198932,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.053438838,0.004898278,0.185327331,0.035947123,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.058653432,0.005396991,0.16645065,0.035539662,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.056598724,0.00499452,0.194634983,0.033184768,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.056662562,0.004436304,0.205306646,0.036863804,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.054633599,0.005586184,0.167580312,0.037561474,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.052407442,0.004737857,0.229163467,0.032847063,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.057408684,0.005173916,0.134776245,0.040467066,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.049367734,0.004548744,0.176542078,0.031554371,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.058714903,0.005243212,0.124858717,0.036322408,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.05385024,0.005131231,0.170933666,0.035560451,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.055634731,0.004683308,0.260723905,0.035446344,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.063661626,0.005154649,0.21285353,0.03642806,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.054390694,0.005548717,0.137452987,0.035573511,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.052542185,0.004679768,0.179577615,0.027815383,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.055521678,0.005371525,0.093855533,0.036508,,,,,,,,,,,,,,,
DTLZ2,5,CD,0.058480041,0.004859687,0.155744993,0.036884047,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.059648893,0.003161414,0.571568268,0.019545109,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.055305109,0.00411535,0.469588834,0.024773417,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.053110895,0.002818263,0.579368306,0.022417835,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.053151662,0.002965662,0.550694183,0.019718882,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.058823403,0.003948987,0.428969381,0.026232404,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.060239961,0.003886988,0.607584906,0.027223011,,,,,,,,,,,,,,,
DTLZ2,5,PSA,0.049024605,0.002782719,0.646081667,0.019803084,,,,,,,,,,,,,,,
