file,num,CDPSA,GD,IGD,HV,GS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000211393,4.02E-05,0.42002729,0.001845183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000201317,3.64E-05,0.421613921,0.000437209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000185818,6.32E-05,0.421459025,0.00062748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000184168,2.06E-05,0.421809729,0.00032671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000194911,1.96E-05,0.421167767,0.001163044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.00019753,2.56E-05,0.421778558,0.000345644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000183248,3.80E-05,0.422206138,0.000115511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000189209,2.77E-05,0.422240792,7.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000188879,1.84E-05,0.421512349,0.000721173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.00019024,1.97E-05,0.421805202,0.000430201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,7.79E-14,0.001057203,0.11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000189048,3.48E-05,0.42232897,1.97E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,0.000196266,3.71E-05,0.421263398,0.000783297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,CD,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.000426744,5.37E-05,0.412490868,0.001648073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.009657775,0.000166184,0.314905723,0.007970134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.023392204,0.000414951,0.202804683,0.068665028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.005756523,0.000174138,0.338033668,0.035379834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.008778092,0.000166731,0.328950681,0.015600874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.003500792,0.00010193,0.365513237,0.007373294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.009074368,0.000182524,0.341028387,0.053656726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.031846422,0.000321406,0.251269275,0.02367313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.04557425,0.000372274,0.166781853,0.077817561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.00079814,6.25E-05,0.407385224,0.007597873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.000779829,6.33E-05,0.405165915,0.011624599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.000207106,2.09E-05,0.419224047,0.000107771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.010425716,0.000177953,0.319137865,0.040661377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.021385356,0.000323926,0.23659367,0.078474665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTLZ4,2,PSA,0.002222394,0.000111015,0.385932243,0.015347586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
